time_point,real_infected,dd_infected,dd_scaled_infected,ff_infected,ff_scaled_infected,dd_error,dd_scaled_error,ff_error,ff_scaled_error,dd_error_sq,dd_scaled_error_sq,ff_error_sq,ff_scaled_error_sq
16.5,35.21,13.4256137227155,79.4239325639951,16.1427703009362,39.5564100575965,21.7843862772845,-44.213932563995094,19.0672296990638,-4.346410057596501,474.5594854779413,1954.8718327735057,363.55924839686065,18.891280388776014
17,27.47,14.353333604089901,82.0243098558003,17.3638652687236,42.0901227266378,13.116666395910098,-54.5543098558003,10.106134731276398,-14.620122726637803,172.0469373415972,2976.1727238426697,102.13395920671108,213.74798854195117
17.5,24.1,15.325240038216,84.3457834768838,18.6528266376618,44.7035266597803,8.774759961784001,-60.245783476883794,5.4471733623382015,-20.6035266597803,76.99641238692757,3629.5544267435644,29.67169763936687,424.5053108202776
18,25.23,16.3406316242896,86.3816647693735,20.00965303071,47.3883690553991,8.8893683757104,-61.1516647693735,5.220346969290002,-22.158369055399103,79.02087011908017,3739.5261040658356,27.25202247977531,490.9933191952685
18.5,36.53,17.3983729140818,88.131067873535,21.4337094446726,50.1351549927179,19.1316270859182,-51.601067873535,15.0962905553274,-13.6051549927179,366.01915495463896,2662.670205689166,227.89798853086725,185.1002423758768
19,45.41,18.496859167368,89.5983208168071,22.9236722543288,52.9331915122115,26.913140832631996,-44.188320816807106,22.486327745671197,-7.523191512211504,724.3171494770836,1952.6076966090682,505.6349354857423,56.59841052941122
19.5,36.04,19.6340019773514,90.7919808691605,24.4774692331452,55.7706442146837,16.4059980226486,-54.7519808691605,11.562530766854799,-19.7306442146837,269.15677111914977,2997.7794090969173,133.69211773446384,389.29832112643135
20,34.32,20.8072024955802,91.7240118940188,26.0922222561297,58.6347105697492,13.512797504419801,-57.4040118940188,8.227777743870302,-24.314710569749202,182.595696395454,3295.220581528652,67.69632660252748,591.2051500906736
20.5,37.61,22.0133478539153,92.4089859230836,27.7642239864148,61.5118528059484,15.5966521460847,-54.798985923083606,9.845776013585198,-23.9018528059484,243.2555581659685,3002.928858198315,96.93930530968963,571.2985675572235
21,47.27,23.2488192872537,92.8631948155889,29.488902601455,64.3878952226359,24.021180712746304,-45.593194815588895,17.781097398545004,-17.1178952226359,577.017122834415,2078.739413492242,316.1674246965439,293.02233685314104
21.5,33.06,24.5095040528149,93.104033558878,31.2608329101329,67.2482226934357,8.550495947185102,-60.044033558878,1.799167089867101,-34.18822269343569,73.11098094282885,3605.2859660196673,3.2370022172608532,1168.8345709359512
22,59.2,25.790787155214,93.1493464176198,33.0737601406204,70.0781532028336,33.409212844786,-33.94934641761979,26.126239859379602,-10.878153202833602,1116.1755029082137,1152.558122183554,682.58040918983545,118.33421710431895
22.5,46.73,27.087651051736,93.0169849262211,34.9206207600115,72.86312782091,19.642348948263997,-46.2869849262211,11.809379239988495,-26.133127820909998,385.82187220536775,2142.4849735602197,139.46143803387125,682.9403697040201
23,38.85,28.3946986525066,92.7243987442714,36.7936043417134,75.5888884016399,10.4553013474934,-53.874398744271396,2.056395658286604,-36.738888401639905,109.3133262668973,2902.4508400567515,4.228763103419996,1349.745920988151
23.5,52.74,29.7062011545173,92.2883740225882,38.6843065416327,78.2417696799256,23.033798845482703,-39.5483740225882,14.055693458367301,-25.501769679925594,530.5558892541603,1564.073887830529,197.56251859558935,650.3402568079723
